cardIdentifier,name,printings_identifier,printings_rarity,printings_set,pitch,typeText,subtypes,types
edge-ahead-red,Edge Ahead (Red),OLA015,Common,Olympia Blitz Deck,1,Warrior Action,NonAttack,Action
edge-ahead-yellow,Edge Ahead (Yellow),HVY125,Common,Heavy Hitters,2,Warrior Action,NonAttack,Action
edge-ahead-yellow,Edge Ahead (Yellow),OLA019,Common,Olympia Blitz Deck,2,Warrior Action,NonAttack,Action
edge-ahead-blue,Edge Ahead (Blue),HVY126,Common,Heavy Hitters,3,Warrior Action,NonAttack,Action
edge-ahead-blue,Edge Ahead (Blue),OLA025,Common,Olympia Blitz Deck,3,Warrior Action,NonAttack,Action
edge-of-autumn,Edge of Autumn,IRA002,Promo,Ira Welcome Deck,,Ninja Weapon - Sword (2H),TwoHanded; Sword,Weapon
edge-of-autumn,Edge of Autumn,ASR002,Rare,Armory Deck Ira,,Ninja Weapon - Sword (2H),TwoHanded; Sword,Weapon
edge-of-autumn,Edge of Autumn,TCC078,Rare,Round The Table,,Ninja Weapon - Sword (2H),TwoHanded; Sword,Weapon
edge-of-autumn,Edge of Autumn,1HP090,Rare,History Pack 1,,Ninja Weapon - Sword (2H),TwoHanded; Sword,Weapon
edge-of-autumn,Edge of Autumn,CRU050,Rare,Crucible Of War,,Ninja Weapon - Sword (2H),TwoHanded; Sword,Weapon
edge-of-their-seats-red,Edge of Their Seats (Red),SLY017,Common,Lyath Silver Age Deck,1,Guardian Instant - Aura,Aura,Instant
edge-of-their-seats-red,Edge of Their Seats (Red),APS012,Common,Armory Deck Pleiades,1,Guardian Instant - Aura,Aura,Instant
edge-of-their-seats-red,Edge of Their Seats (Red),SUP201,Common,Super Slam,1,Guardian Instant - Aura,Aura,Instant
edge-of-their-seats-red,Edge of Their Seats (Red),LGS437,Promo,Promos,1,Guardian Instant - Aura,Aura,Instant
edge-of-their-seats-yellow,Edge of Their Seats (Yellow),SUP202,Common,Super Slam,2,Guardian Instant - Aura,Aura,Instant
edge-of-their-seats-blue,Edge of Their Seats (Blue),SLY032,Common,Lyath Silver Age Deck,3,Guardian Instant - Aura,Aura,Instant
edge-of-their-seats-blue,Edge of Their Seats (Blue),SBR033,Common,Bravo Silver Age Deck,3,Guardian Instant - Aura,Aura,Instant
edge-of-their-seats-blue,Edge of Their Seats (Blue),APS023,Common,Armory Deck Pleiades,3,Guardian Instant - Aura,Aura,Instant
edge-of-their-seats-blue,Edge of Their Seats (Blue),SUP203,Common,Super Slam,3,Guardian Instant - Aura,Aura,Instant
edict-of-steel-red,Edict of Steel (Red),SBL020,Common,Boltyn Silver Age Deck,1,Warrior Action,NonAttack,Action
edict-of-steel-red,Edict of Steel (Red),AHA012,Common,Armory Deck Origins Hala,1,Warrior Action,NonAttack,Action
edict-of-steel-yellow,Edict of Steel (Yellow),AHA017,Common,Armory Deck Origins Hala,2,Warrior Action,NonAttack,Action
edict-of-steel-blue,Edict of Steel (Blue),AHA022,Common,Armory Deck Origins Hala,3,Warrior Action,NonAttack,Action
eirinas-prayer-red,Eirina's Prayer (Red),1HP384,Rare,History Pack 1,1,Generic Instant,,Instant
eirinas-prayer-red,Eirina's Prayer (Red),ARC173,Rare,Arcane Rising,1,Generic Instant,,Instant
eirinas-prayer-yellow,Eirina's Prayer (Yellow),1HP385,Rare,History Pack 1,2,Generic Instant,,Instant
eirinas-prayer-yellow,Eirina's Prayer (Yellow),ARC174,Rare,Arcane Rising,2,Generic Instant,,Instant
eirinas-prayer-blue,Eirina's Prayer (Blue),1HP386,Rare,History Pack 1,3,Generic Instant,,Instant
eirinas-prayer-blue,Eirina's Prayer (Blue),ARC175,Rare,Arcane Rising,3,Generic Instant,,Instant
electrify-red,Electrify (Red),ELE198,Common,Tales Of Aria,1,Lightning Action,NonAttack,Action
electrify-red,Electrify (Red),LXI016,Common,Lexi Blitz Deck,1,Lightning Action,NonAttack,Action
electrify-yellow,Electrify (Yellow),ELE199,Common,Tales Of Aria,2,Lightning Action,NonAttack,Action
electrify-yellow,Electrify (Yellow),BRI030,Common,Briar Blitz Deck,2,Lightning Action,NonAttack,Action
electrify-blue,Electrify (Blue),ELE200,Common,Tales Of Aria,3,Lightning Action,NonAttack,Action
electrify-blue,Electrify (Blue),LXI020,Common,Lexi Blitz Deck,3,Lightning Action,NonAttack,Action
electrify-blue,Electrify (Blue),FAB048,Promo,Promos,3,Lightning Action,NonAttack,Action
electrolyze-red,Electrolyze (Red),OMN163,Common,Omens Of The Third Age,1,Lightning Action - Attack,Attack,Action
electrolyze-red,Electrolyze (Red),GEM171,Promo,GEM,1,Lightning Action - Attack,Attack,Action
electrolyze-yellow,Electrolyze (Yellow),OMN164,Common,Omens Of The Third Age,2,Lightning Action - Attack,Attack,Action
electrolyze-blue,Electrolyze (Blue),OMN165,Common,Omens Of The Third Age,3,Lightning Action - Attack,Attack,Action
electromagnetic-somersault-red,Electromagnetic Somersault (Red),AST019,Rare,Armory Deck Aurora,1,Lightning Instant,,Instant
electromagnetic-somersault-red,Electromagnetic Somersault (Red),ROS085,Rare,Rosetta,1,Lightning Instant,,Instant
electromagnetic-somersault-yellow,Electromagnetic Somersault (Yellow),ROS086,Rare,Rosetta,2,Lightning Instant,,Instant
electromagnetic-somersault-blue,Electromagnetic Somersault (Blue),ROS087,Rare,Rosetta,3,Lightning Instant,,Instant
electrostatic-discharge-red,Electrostatic Discharge (Red),AST020,Common,Armory Deck Aurora,1,Lightning Instant,,Instant
electrostatic-discharge-red,Electrostatic Discharge (Red),ROS110,Common,Rosetta,1,Lightning Instant,,Instant
electrostatic-discharge-red,Electrostatic Discharge (Red),OSC020,Common,Oscilio Blitz Deck,1,Lightning Instant,,Instant
electrostatic-discharge-red,Electrostatic Discharge (Red),AUA018,Common,Aurora Blitz Deck,1,Lightning Instant,,Instant
electrostatic-discharge-red,Electrostatic Discharge (Red),LGS347,Promo,Promos,1,Lightning Instant,,Instant
electrostatic-discharge-yellow,Electrostatic Discharge (Yellow),ROS111,Common,Rosetta,2,Lightning Instant,,Instant
electrostatic-discharge-yellow,Electrostatic Discharge (Yellow),LGS348,Promo,Promos,2,Lightning Instant,,Instant
electrostatic-discharge-blue,Electrostatic Discharge (Blue),ROS112,Common,Rosetta,3,Lightning Instant,,Instant
electrostatic-discharge-blue,Electrostatic Discharge (Blue),AUA024,Common,Aurora Blitz Deck,3,Lightning Instant,,Instant
electrostatic-discharge-blue,Electrostatic Discharge (Blue),LGS349,Promo,Promos,3,Lightning Instant,,Instant
electryn-joltstep-red,Electryn Joltstep (Red),OMN080,Common,Omens Of The Third Age,1,Lightning Runeblade Action,NonAttack,Action
electryn-joltstep-red,Electryn Joltstep (Red),GEM154,Promo,GEM,1,Lightning Runeblade Action,NonAttack,Action
electryn-joltstep-yellow,Electryn Joltstep (Yellow),OMN081,Common,Omens Of The Third Age,2,Lightning Runeblade Action,NonAttack,Action
electryn-joltstep-blue,Electryn Joltstep (Blue),OMN082,Common,Omens Of The Third Age,3,Lightning Runeblade Action,NonAttack,Action
electryn-mindmeld-yellow,Electryn Mindmeld (Yellow),OMN054,Rare,Omens Of The Third Age,2,Lightning Runeblade Action - Attack,Attack,Action
elemental-strike-red,Elemental Strike (Red),PEN205,Majestic,Compendium Of Rathe,1,Elemental Action - Attack,Attack,Action
elemental-strike-red,Elemental Strike (Red),FAB425,Promo,Promos,1,Elemental Action - Attack,Attack,Action
elliptical-conflux-yellow,Elliptical Conflux (Yellow),AZS019,Common,Armory Deck Zyggy,2,Lightning Illusionist Instant - Aura,Aura,Instant
elliptical-conflux-yellow,Elliptical Conflux (Yellow),OMN034,Common,Omens Of The Third Age,2,Lightning Illusionist Instant - Aura,Aura,Instant
eloquence,Eloquence,DTD233,Common,Dusk Till Dawn,,Generic Token - Aura,Aura,Token
eloquence,Eloquence,FAB154,Promo,Promos,,Generic Token - Aura,Aura,Token
eloquent-eulogy-red,Eloquent Eulogy (Red),MST237,Majestic,Part The Mistveil,1,Shadow Runeblade Action - Attack,Attack,Action
embalm-yellow,Embalm (Yellow),PEN193,Majestic,Compendium Of Rathe,2,Shadow Action,NonAttack,Action
embermaw-cenipai-red,Embermaw Cenipai (Red),UPR027,Common,Uprising,1,Draconic Illusionist Action - Attack,Attack,Action
embermaw-cenipai-red,Embermaw Cenipai (Red),DRO016,Common,Dromai Blitz Deck,1,Draconic Illusionist Action - Attack,Attack,Action
embermaw-cenipai-yellow,Embermaw Cenipai (Yellow),UPR028,Common,Uprising,2,Draconic Illusionist Action - Attack,Attack,Action
embermaw-cenipai-blue,Embermaw Cenipai (Blue),UPR029,Common,Uprising,3,Draconic Illusionist Action - Attack,Attack,Action
embodiment-of-earth,Embodiment of Earth,SBA034,Token,Briar Silver Age Deck,,Elemental Token - Aura,Aura,Token
embodiment-of-earth,Embodiment of Earth,AJV028,Token,Armory Deck Origins Jarl,,Elemental Token - Aura,Aura,Token
embodiment-of-earth,Embodiment of Earth,ROS025,Token,Rosetta,,Elemental Token - Aura,Aura,Token
embodiment-of-earth,Embodiment of Earth,VER027,Token,Verdance Blitz Deck,,Elemental Token - Aura,Aura,Token
embodiment-of-earth,Embodiment of Earth,FLR027,Token,Florian Blitz Deck,,Elemental Token - Aura,Aura,Token
embodiment-of-earth,Embodiment of Earth,DTD194,Common,Dusk Till Dawn,,Elemental Token - Aura,Aura,Token
embodiment-of-earth,Embodiment of Earth,ELE109,Token,Tales Of Aria,,Elemental Token - Aura,Aura,Token
embodiment-of-earth,Embodiment of Earth,BRI003,Token,Briar Blitz Deck,,Elemental Token - Aura,Aura,Token
embodiment-of-earth,Embodiment of Earth,FAB118,Promo,Promos,,Elemental Token - Aura,Aura,Token
embodiment-of-lightning,Embodiment of Lightning,SBA035,Basic,Briar Silver Age Deck,,Elemental Token - Aura,Aura,Token
embodiment-of-lightning,Embodiment of Lightning,AZS029,Basic,Armory Deck Zyggy,,Elemental Token - Aura,Aura,Token
embodiment-of-lightning,Embodiment of Lightning,OMN202,Basic,Omens Of The Third Age,,Elemental Token - Aura,Aura,Token
embodiment-of-lightning,Embodiment of Lightning,AST028,Token,Armory Deck Aurora,,Elemental Token - Aura,Aura,Token
embodiment-of-lightning,Embodiment of Lightning,ROS026,Token,Rosetta,,Elemental Token - Aura,Aura,Token
embodiment-of-lightning,Embodiment of Lightning,OSC027,Token,Oscilio Blitz Deck,,Elemental Token - Aura,Aura,Token
embodiment-of-lightning,Embodiment of Lightning,AUA027,Token,Aurora Blitz Deck,,Elemental Token - Aura,Aura,Token
embodiment-of-lightning,Embodiment of Lightning,AUR027,Token,First Strike Aurora,,Elemental Token - Aura,Aura,Token
embodiment-of-lightning,Embodiment of Lightning,DTD195,Common,Dusk Till Dawn,,Elemental Token - Aura,Aura,Token
embodiment-of-lightning,Embodiment of Lightning,ELE110,Token,Tales Of Aria,,Elemental Token - Aura,Aura,Token
embodiment-of-lightning,Embodiment of Lightning,BRI002,Token,Briar Blitz Deck,,Elemental Token - Aura,Aura,Token
embodiment-of-lightning,Embodiment of Lightning,FAB119,Promo,Promos,,Elemental Token - Aura,Aura,Token
embody-greatness-yellow,Embody Greatness (Yellow),PEN121,Rare,Compendium Of Rathe,2,Shapeshifter Instant,,Instant
embolden-red,Embolden (Red),MPG097,Common,Mastery Pack Guardian,1,Guardian Action - Aura,Aura; NonAttack,Action
embolden-red,Embolden (Red),ELE206,Rare,Tales Of Aria,1,Guardian Action - Aura,Aura; NonAttack,Action
embolden-red,Embolden (Red),OLD030,Rare,Oldhim Blitz Deck,1,Guardian Action - Aura,Aura; NonAttack,Action
embolden-yellow,Embolden (Yellow),MPG098,Common,Mastery Pack Guardian,2,Guardian Action - Aura,Aura; NonAttack,Action
embolden-yellow,Embolden (Yellow),ELE207,Rare,Tales Of Aria,2,Guardian Action - Aura,Aura; NonAttack,Action
embolden-blue,Embolden (Blue),MPG099,Common,Mastery Pack Guardian,3,Guardian Action - Aura,Aura; NonAttack,Action
embolden-blue,Embolden (Blue),ELE208,Rare,Tales Of Aria,3,Guardian Action - Aura,Aura; NonAttack,Action
emboldened-blade-blue,Emboldened Blade (Blue),EVO240,Majestic,Bright Lights,3,Warrior Action,NonAttack,Action
emboldened-by-the-crowd-yellow,Emboldened by the Crowd (Yellow),PEN290,Rare,Compendium Of Rathe,2,Revered Defense Reaction,,DefenseReaction
embrace-adversity,Embrace Adversity,HVY200,Common,Heavy Hitters,,Generic Equipment - Arms,Arms,Equipment
embraforged-gauntlet,Embraforged Gauntlet,PEN192,Rare,Compendium Of Rathe,,Shadow Equipment - Arms,Arms,Equipment
emerging-avalanche-red,Emerging Avalanche (Red),ELE025,Common,Tales Of Aria,1,Elemental Guardian Action - Aura,Aura; NonAttack,Action
emerging-avalanche-yellow,Emerging Avalanche (Yellow),ELE026,Common,Tales Of Aria,2,Elemental Guardian Action - Aura,Aura; NonAttack,Action
emerging-avalanche-blue,Emerging Avalanche (Blue),AJV019,Common,Armory Deck Origins Jarl,3,Elemental Guardian Action - Aura,Aura; NonAttack,Action
emerging-avalanche-blue,Emerging Avalanche (Blue),ELE027,Common,Tales Of Aria,3,Elemental Guardian Action - Aura,Aura; NonAttack,Action
emerging-dominance-red,Emerging Dominance (Red),1HP079,Common,History Pack 1,1,Guardian Action - Aura,Aura; NonAttack,Action
emerging-dominance-red,Emerging Dominance (Red),CRU038,Common,Crucible Of War,1,Guardian Action - Aura,Aura; NonAttack,Action
emerging-dominance-yellow,Emerging Dominance (Yellow),1HP080,Common,History Pack 1,2,Guardian Action - Aura,Aura; NonAttack,Action
emerging-dominance-yellow,Emerging Dominance (Yellow),CRU039,Common,Crucible Of War,2,Guardian Action - Aura,Aura; NonAttack,Action
emerging-dominance-blue,Emerging Dominance (Blue),1HP081,Common,History Pack 1,3,Guardian Action - Aura,Aura; NonAttack,Action
emerging-dominance-blue,Emerging Dominance (Blue),CRU040,Common,Crucible Of War,3,Guardian Action - Aura,Aura; NonAttack,Action
emerging-power-red,Emerging Power (Red),MPG100,Common,Mastery Pack Guardian,1,Guardian Action - Aura,Aura; NonAttack,Action
emerging-power-red,Emerging Power (Red),WTR069,Common,Welcome To Rathe,1,Guardian Action - Aura,Aura; NonAttack,Action
emerging-power-red,Emerging Power (Red),BVO012,Common,Bravo Hero Deck,1,Guardian Action - Aura,Aura; NonAttack,Action
emerging-power-yellow,Emerging Power (Yellow),MPG101,Common,Mastery Pack Guardian,2,Guardian Action - Aura,Aura; NonAttack,Action
emerging-power-yellow,Emerging Power (Yellow),WTR070,Common,Welcome To Rathe,2,Guardian Action - Aura,Aura; NonAttack,Action
emerging-power-yellow,Emerging Power (Yellow),BVO014,Common,Bravo Hero Deck,2,Guardian Action - Aura,Aura; NonAttack,Action
emerging-power-blue,Emerging Power (Blue),MPG102,Common,Mastery Pack Guardian,3,Guardian Action - Aura,Aura; NonAttack,Action
emerging-power-blue,Emerging Power (Blue),WTR071,Common,Welcome To Rathe,3,Guardian Action - Aura,Aura; NonAttack,Action
emeritus-scolding-red,Emeritus Scolding (Red),SBZ015,Rare,Blaze Silver Age Deck,1,Wizard Action,NonAttack,Action
emeritus-scolding-red,Emeritus Scolding (Red),EVR125,Rare,Everfest,1,Wizard Action,NonAttack,Action
emeritus-scolding-red,Emeritus Scolding (Red),LGS090,Promo,Promos,1,Wizard Action,NonAttack,Action
emeritus-scolding-red,Emeritus Scolding (Red),TNP007,Promo,Tournament Pack,1,Wizard Action,NonAttack,Action
emeritus-scolding-yellow,Emeritus Scolding (Yellow),SBZ022,Rare,Blaze Silver Age Deck,2,Wizard Action,NonAttack,Action
emeritus-scolding-yellow,Emeritus Scolding (Yellow),EVR126,Rare,Everfest,2,Wizard Action,NonAttack,Action
emeritus-scolding-yellow,Emeritus Scolding (Yellow),LGS091,Promo,Promos,2,Wizard Action,NonAttack,Action
emeritus-scolding-yellow,Emeritus Scolding (Yellow),TNP008,Promo,Tournament Pack,2,Wizard Action,NonAttack,Action
emeritus-scolding-blue,Emeritus Scolding (Blue),SBZ028,Rare,Blaze Silver Age Deck,3,Wizard Action,NonAttack,Action
emeritus-scolding-blue,Emeritus Scolding (Blue),SIY025,Rare,Iyslander Silver Age Deck,3,Wizard Action,NonAttack,Action
emeritus-scolding-blue,Emeritus Scolding (Blue),EVR127,Rare,Everfest,3,Wizard Action,NonAttack,Action
emeritus-scolding-blue,Emeritus Scolding (Blue),LGS092,Promo,Promos,3,Wizard Action,NonAttack,Action
emeritus-scolding-blue,Emeritus Scolding (Blue),TNP009,Promo,Tournament Pack,3,Wizard Action,NonAttack,Action
emissary-of-moon-red,Emissary of Moon (Red),MST197,Rare,Part The Mistveil,1,Generic Action - Attack,Attack,Action
emissary-of-moon-red,Emissary of Moon (Red),LGS299,Promo,Promos,1,Generic Action - Attack,Attack,Action
emissary-of-tides-red,Emissary of Tides (Red),MST198,Rare,Part The Mistveil,1,Generic Action - Attack,Attack,Action
emissary-of-tides-red,Emissary of Tides (Red),LGS295,Promo,Promos,1,Generic Action - Attack,Attack,Action
emissary-of-wind-red,Emissary of Wind (Red),MST199,Rare,Part The Mistveil,1,Generic Action - Attack,Attack,Action
emissary-of-wind-red,Emissary of Wind (Red),LGS303,Promo,Promos,1,Generic Action - Attack,Attack,Action
emperor-dracai-of-aesir,"Emperor, Dracai of Aesir",DYN001,Legendary,Dynasty,,Royal Draconic Warrior Wizard Hero - Young,Young,Hero
emperor-dracai-of-aesir,"Emperor, Dracai of Aesir",DYN001,Marvel,Dynasty,,Royal Draconic Warrior Wizard Hero - Young,Young,Hero
empowering-ruckus-yellow,Empowering Ruckus (Yellow),SUP039,Common,Super Slam,2,Revered Action - Attack,Attack,Action
empyrean-rapture,Empyrean Rapture,DTD004,Legendary,Dusk Till Dawn,,Light Illusionist Equipment - Chest,Chest,Equipment
empyrean-rapture,Empyrean Rapture,FAB138,Promo,Promos,,Light Illusionist Equipment - Chest,Chest,Equipment
en-garde-red,En Garde (Red),DVR009,Common,Classic Battles Rhinar Dorinthea,1,Warrior Action,NonAttack,Action
en-garde-red,En Garde (Red),LGS148,Promo,Promos,1,Warrior Action,NonAttack,Action
enact-vengeance-red,Enact Vengeance (Red),ASR008,Majestic,Armory Deck Ira,1,Ninja Action - Attack,Attack,Action
enact-vengeance-red,Enact Vengeance (Red),GEM116,Promo,GEM,1,Ninja Action - Attack,Attack,Action
encase-red,Encase (Red),UPR104,Majestic,Uprising,1,Elemental Wizard Action,NonAttack,Action
enchanted-quiver,Enchanted Quiver,HNT252,Majestic,The Hunted,,Ranger Equipment - Quiver,Quiver,Equipment
enchanting-melody-red,Enchanting Melody (Red),1HP375,Rare,History Pack 1,1,Generic Action - Aura,Aura; NonAttack,Action
enchanting-melody-red,Enchanting Melody (Red),ARC167,Rare,Arcane Rising,1,Generic Action - Aura,Aura; NonAttack,Action
enchanting-melody-yellow,Enchanting Melody (Yellow),1HP376,Rare,History Pack 1,2,Generic Action - Aura,Aura; NonAttack,Action
enchanting-melody-yellow,Enchanting Melody (Yellow),ARC168,Rare,Arcane Rising,2,Generic Action - Aura,Aura; NonAttack,Action
enchanting-melody-blue,Enchanting Melody (Blue),1HP377,Rare,History Pack 1,3,Generic Action - Aura,Aura; NonAttack,Action
enchanting-melody-blue,Enchanting Melody (Blue),ARC169,Rare,Arcane Rising,3,Generic Action - Aura,Aura; NonAttack,Action
enclosed-firemind,Enclosed Firemind,SBR006,Rare,Bravo Silver Age Deck,,Guardian Equipment - Head,Head,Equipment
enclosed-firemind,Enclosed Firemind,PEN016,Rare,Compendium Of Rathe,,Guardian Equipment - Head,Head,Equipment
encore-yellow,Encore (Yellow),TCC061,Rare,Round The Table,2,Bard Action,NonAttack,Action
endear-devotion-red,Endear Devotion (Red),HNT104,Rare,The Hunted,1,Draconic Warrior Attack Reaction,,AttackReaction
endear-devotion-red,Endear Devotion (Red),FNG012,Rare,Fang Blitz Deck,1,Draconic Warrior Attack Reaction,,AttackReaction
endear-devotion-red,Endear Devotion (Red),GEM013,Promo,GEM,1,Draconic Warrior Attack Reaction,,AttackReaction
endless-arrow-red,Endless Arrow (Red),1HP228,Majestic,History Pack 1,1,Ranger Action - Arrow Attack,Arrow; Attack,Action
endless-arrow-red,Endless Arrow (Red),ARC045,Super Rare,Arcane Rising,1,Ranger Action - Arrow Attack,Arrow; Attack,Action
endless-maw-red,Endless Maw (Red),MON126,Rare,Monarch,1,Shadow Brute Action - Attack,Attack,Action
endless-maw-red,Endless Maw (Red),LEV012,Rare,Levia Blitz Deck,1,Shadow Brute Action - Attack,Attack,Action
endless-maw-yellow,Endless Maw (Yellow),MON127,Rare,Monarch,2,Shadow Brute Action - Attack,Attack,Action
endless-maw-blue,Endless Maw (Blue),MON128,Rare,Monarch,3,Shadow Brute Action - Attack,Attack,Action
endless-winter-red,Endless Winter (Red),ELE004,Majestic,Tales Of Aria,1,Elemental Guardian Action - Attack,Attack,Action
energetic-impact-blue,Energetic Impact (Blue),SUP131,Super Rare,Super Slam,3,Brute Action - Attack,Attack,Action
energetic-impact-blue,Energetic Impact (Blue),GEM098,Promo,GEM,3,Brute Action - Attack,Attack,Action
energy-of-the-audience-yellow,Energy of the Audience (Yellow),PEN286,Rare,Compendium Of Rathe,2,Revered Guardian Action - Attack,Attack,Action
energy-of-the-audience-yellow,Energy of the Audience (Yellow),GEM159,Promo,GEM,2,Revered Guardian Action - Attack,Attack,Action
energy-potion-blue,Energy Potion (Blue),SFA035,Rare,Fai Silver Age Deck,3,Generic Action - Item,Item; NonAttack,Action
energy-potion-blue,Energy Potion (Blue),SDO030,Rare,Dorinthea Silver Age Deck,3,Generic Action - Item,Item; NonAttack,Action
energy-potion-blue,Energy Potion (Blue),ASR027,Rare,Armory Deck Ira,3,Generic Action - Item,Item; NonAttack,Action
energy-potion-blue,Energy Potion (Blue),TCC071,Rare,Round The Table,3,Generic Action - Item,Item; NonAttack,Action
energy-potion-blue,Energy Potion (Blue),1HP381,Rare,History Pack 1,3,Generic Action - Item,Item; NonAttack,Action
energy-potion-blue,Energy Potion (Blue),WTR170,Rare,Welcome To Rathe,3,Generic Action - Item,Item; NonAttack,Action
energy-potion-blue,Energy Potion (Blue),KSU029,Rare,Katsu Hero Deck,3,Generic Action - Item,Item; NonAttack,Action
energy-potion-blue,Energy Potion (Blue),TEA028,Rare,Dorinthea Hero Deck,3,Generic Action - Item,Item; NonAttack,Action
energy-potion-blue,Energy Potion (Blue),FAB012,Promo,Promos,3,Generic Action - Item,Item; NonAttack,Action
energy-potion-blue,Energy Potion (Blue),FAB223,Promo,Promos,3,Generic Action - Item,Item; NonAttack,Action
enflame-the-firebrand-red,Enflame the Firebrand (Red),SFA014,Rare,Fai Silver Age Deck,1,Draconic Ninja Action - Attack,Attack,Action
enflame-the-firebrand-red,Enflame the Firebrand (Red),PEN250,Rare,Compendium Of Rathe,1,Draconic Ninja Action - Attack,Attack,Action
engaged-swiftblade-red,Engaged Swiftblade (Red),HVY127,Common,Heavy Hitters,1,Warrior Action,NonAttack,Action
engaged-swiftblade-red,Engaged Swiftblade (Red),OLA016,Common,Olympia Blitz Deck,1,Warrior Action,NonAttack,Action
engaged-swiftblade-yellow,Engaged Swiftblade (Yellow),HVY128,Common,Heavy Hitters,2,Warrior Action,NonAttack,Action
engaged-swiftblade-yellow,Engaged Swiftblade (Yellow),KSI021,Common,Kassai Blitz Deck,2,Warrior Action,NonAttack,Action
engaged-swiftblade-blue,Engaged Swiftblade (Blue),HVY129,Common,Heavy Hitters,3,Warrior Action,NonAttack,Action
engaged-swiftblade-blue,Engaged Swiftblade (Blue),OLA026,Common,Olympia Blitz Deck,3,Warrior Action,NonAttack,Action
engaged-swiftblade-blue,Engaged Swiftblade (Blue),KSI026,Common,Kassai Blitz Deck,3,Warrior Action,NonAttack,Action
engulfing-flamewave-red,Engulfing Flamewave (Red),UPR051,Rare,Uprising,1,Draconic Ninja Action - Attack,Attack,Action
engulfing-flamewave-yellow,Engulfing Flamewave (Yellow),UPR052,Rare,Uprising,2,Draconic Ninja Action - Attack,Attack,Action
engulfing-flamewave-blue,Engulfing Flamewave (Blue),UPR053,Rare,Uprising,3,Draconic Ninja Action - Attack,Attack,Action
engulfing-light-red,Engulfing Light (Red),SBL014,Common,Boltyn Silver Age Deck,1,Light Warrior Action - Attack,Attack,Action
engulfing-light-red,Engulfing Light (Red),ASB009,Common,Armory Deck Boltyn,1,Light Warrior Action - Attack,Attack,Action
engulfing-light-red,Engulfing Light (Red),MON048,Common,Monarch,1,Light Warrior Action - Attack,Attack,Action
engulfing-light-red,Engulfing Light (Red),BOL014,Common,Boltyn Blitz Deck,1,Light Warrior Action - Attack,Attack,Action
engulfing-light-yellow,Engulfing Light (Yellow),SBL027,Common,Boltyn Silver Age Deck,2,Light Warrior Action - Attack,Attack,Action
engulfing-light-yellow,Engulfing Light (Yellow),MON049,Common,Monarch,2,Light Warrior Action - Attack,Attack,Action
engulfing-light-blue,Engulfing Light (Blue),MON050,Common,Monarch,3,Light Warrior Action - Attack,Attack,Action
engulfing-light-blue,Engulfing Light (Blue),BOL023,Common,Boltyn Blitz Deck,3,Light Warrior Action - Attack,Attack,Action
engulfing-shadows-yellow,Engulfing Shadows (Yellow),PEN194,Rare,Compendium Of Rathe,2,Shadow Defense Reaction,,DefenseReaction
engulfing-shadows-yellow,Engulfing Shadows (Yellow),GEM137,Promo,GEM,2,Shadow Defense Reaction,,DefenseReaction
enigma,Enigma,SEN001,Rare,Enigma Silver Age Deck,,Mystic Illusionist Hero - Young,Young,Hero
enigma,Enigma,MST026,Token,Part The Mistveil,,Mystic Illusionist Hero - Young,Young,Hero
enigma,Enigma,MST026,Marvel,Part The Mistveil,,Mystic Illusionist Hero - Young,Young,Hero
enigma,Enigma,ENG001,Rare,Enigma Blitz Deck,,Mystic Illusionist Hero - Young,Young,Hero
enigma-chimera-red,Enigma Chimera (Red),SEN010,Common,Enigma Silver Age Deck,1,Illusionist Action - Attack,Attack,Action
enigma-chimera-red,Enigma Chimera (Red),DRO020,Common,Dromai Blitz Deck,1,Illusionist Action - Attack,Attack,Action
enigma-chimera-red,Enigma Chimera (Red),MON098,Common,Monarch,1,Illusionist Action - Attack,Attack,Action
enigma-chimera-red,Enigma Chimera (Red),TNP058,Promo,Tournament Pack,1,Illusionist Action - Attack,Attack,Action
enigma-chimera-yellow,Enigma Chimera (Yellow),MON099,Common,Monarch,2,Illusionist Action - Attack,Attack,Action
enigma-chimera-yellow,Enigma Chimera (Yellow),PSM027,Common,Prism Blitz Deck,2,Illusionist Action - Attack,Attack,Action
enigma-chimera-yellow,Enigma Chimera (Yellow),TNP059,Promo,Tournament Pack,2,Illusionist Action - Attack,Attack,Action
enigma-chimera-blue,Enigma Chimera (Blue),SEN021,Common,Enigma Silver Age Deck,3,Illusionist Action - Attack,Attack,Action
enigma-chimera-blue,Enigma Chimera (Blue),MON100,Common,Monarch,3,Illusionist Action - Attack,Attack,Action
enigma-chimera-blue,Enigma Chimera (Blue),PSM028,Common,Prism Blitz Deck,3,Illusionist Action - Attack,Attack,Action
enigma-chimera-blue,Enigma Chimera (Blue),TNP060,Promo,Tournament Pack,3,Illusionist Action - Attack,Attack,Action
enigma-ledger-of-ancestry,"Enigma, Ledger of Ancestry",MST025,Majestic,Part The Mistveil,,Mystic Illusionist Hero,,Hero
enigma-ledger-of-ancestry,"Enigma, Ledger of Ancestry",MST025,Marvel,Part The Mistveil,,Mystic Illusionist Hero,,Hero
enigma-ledger-of-ancestry,"Enigma, Ledger of Ancestry",WIN034,Promo,Promos,,Mystic Illusionist Hero,,Hero
enigma-ledger-of-ancestry,"Enigma, Ledger of Ancestry",HER114,Promo,Promos,,Mystic Illusionist Hero,,Hero
